iter	MultiClass
0	1.0229167661	0.9624442464
2	0.9153537446
3	0.868893221844	0.827508690255	0.786301933466	0.750952495
7	0.7168328174
88	0.6883544125
99	0.663018927110	0.6400948111111	0.61656975112	0.5894419783113	0.5664907577
14	0.5486759993
15	0.5322069897
16	0.5174363523
17	0.5031144422
18	0.4906308848
19	0.4779013818
20	0.4676633165
21	0.4737016391
22	0.4472190491
23	0.4380521039
24	0.4304872477
25	0.4225372773
26	0.4146166994
27	0.4077786252828	0.4010199372929	0.395935014330	0.3889016574331	0.3837960413
32	0.3788431793
33	0.3745797435334	0.3707478607335	0.3658744343636	0.3615810837	0.3769221954
38	38	0.3530121239	39	0.3497806840	40	0.3469667441	41	0.3430733642	0.3583679773
43	0.3556286993
44	0.353448491
45	0.3505858786
46	0.3476019426
47	0.3453598355
48	0.3432946107
49	0.3419097904
50	0.339596966
51	0.3375617034
52	0.3360747631
53	0.3342194438
54	0.3326559082
55	0.3307946597
56	0.327975599
57	057	0.3055371949
58	0.3039570585
59	0.303110360	060	0.300732461	061	0.299200262	062	0.297715263	63	0.2960555364	64	0.2949324865	0.3148414984666	0.3138483122
67	0.3125021345668	0.3114359216
69	0.3102105254
70	0.3088408975
71	0.3078530824
72	0.3071061192773	0.3061000123
74	0.3046348941775	0.303297506676	0.2793450837
77	0.3012034223
78	0.3001155655
79	0.298834148
80	0.2981250339
81	0.297086448
82	0.2962986722
83	0.2953643604
84	0.2939177472
85	0.2930037132
86	0.2921144122
87	0.2913415723
88	0.2905929112
89	0.2894783444
90	0.2884814544
91	0.2876462668
92	0.2867015215
93	0.2858232451
94	0.2626361178
95	0.262088874
96	0.2611444623
97	0.2606145107
98	0.98	0.25568199	0.99	0.254789100	0100	0.2538148788
101	0.2527129831
102	0.2514421392
103	0.2503153815
104	0.24971105	0105	0.249141106	0106	0.248456107	0.2530029816
108	0.2524991313
109	0.2517656129
110	0.2513338318
111	0111	0.244269112	0112	0.243238113	0113	0.242779114	0114	0.241905115	0115	0.240729116	0116	0.2396461972
117	0.2388791454
118	0.2382997408
119	0.2375953507
120	0.2367237608
121	0.2361135584
122	0.2355766357
123	0.2350943596
124	0.234338626
125	0.2332732473
126	0.2323783422
127	0.2317523245
128	0.2310378652
129	0.2301964516
130	0.2292112222
131	0.2283323103
132	0.2275214028
133	0.2269478649
134	0.2260913882
135	0.2254039159
136	0.2246853344
137	0.2238301029
138	0.2232166111
139	0.2224332446
140	0.2221194066
141	0.2214661389
142	0.2209002388
143	0.220385303
144	0.2195160264
145	0.2188327086
146	0.2183825482
147	0.2172980294
148	0.216453483
149	0.2157562651
150	0.2149327456
151	0.2142504251
152	0.2137700915
153	0.2133019509
154	0.2126109547
155	0.2121962381
156	0.2114985891
157	0.2108735953
158	0.2106657944
159	0.2100859521
160	0.209580998
161	0.2087638195
162	0.2084568674
163	0.2078442594
164	0.2073675351
165	0.2070192686
166	0.2063171843
167	0.2058982226
168	0.2054546337
169	0.2049426745
170	0.2042893266
171	0.2037206172	0.21845831
173	0.2182660468
174	0.2178438141
175	0.2172821452
176	0.2169655299
177	0.216499931
178	0.2159634775
179	0.2154870727
180	0.2153197589
181	0.2147808657
182	0.2144757705
183	0.2138780139
184	0.2134408995
185	0.212970393
186	0.2124381476
187	0.2118706803
188	0.2112995504
189	0.2107817892
190	0.2101961132
191	0.2099810363
192	0.2093748547
193	0.208991864
194	0.2085724623
195	0.2083734896
196	0.207985869
197	0.2076152697
198	0.2072453874
199	0.2068258399
200	0.2066293692
201	0.2062072113
202	0.2058449082
203	0.205528258
204	0.2052210359
205	0.2051112139
206	0.2049016752
207	0.2044351905
208	0.2039707674
209	0.2036893417
210	0.2033196797
211	0.2030485691
212	0.2026636259
213	0.2023875122
214	0.201946957
215	0.2017746012
216	0.2015609005
217	0.2011784093
218	0.2007969376
219	0.2003727559
220	0.1999764429
221	0.1995518618
222	0.1993444805
223	0.1990479318
224	0.1986187
225	0.1983319246
226	0.1981283042
227	0.1980352583
228	0.1976590828
229	0.1972729815
230	0.1969120184
231	0.1966514125
232	0.196230565
233	0.1960648448
234	0.1958164339
235	0.1954754582
236	0.1952987859
237	0.1951023138
238	0.1947438587
239	0.1946103818
240	0.1944639098
241	0.1940549028
242	0.1936894216
243	0.1933798023
244	0.1930931942
245	0.1926756906
246	0.1924600706
247	0.1922077148
248	0.1919291439
249	0.1916606581
250	0.1913476575
251	0.1908488886
252	0.1906247044
253	0.1903216252
254	0.1899864768
255	0.1897499426
256	0.1894923064
257	0.1892639825
258	0.1891359331
259	0.1888372065
260	0.1885319048
261	0.1882831983
262	0.1878462895
263	0.187431104
264	0.1872769757
265	0.1869910822
266	0.1867611095
267	0.186437873
268	0.1861414813
269	0.1859141784
270	0.1857764288
271	0.1856683833
272	0.1854338746
273	0.1851155546
274	0.1848179492
275	0.184493246
276	0.1841457313
277	0.1839271406
278	0.1836970724
279	0.1835413079
280	0.1834062828
281	0.1830767642
282	0.182796142
283	0.1825215584
284	0.1823361404
285	0.1821376921
286	0.181999922
287	0.1817498826
288	0.1815323648
289	0.181350449
290	0.1810551183
291	0.1808589202
292	0.1806001072
293	0.1803660656
294	0.1801204433
295	0.1797396992
296	0.1794816712
297	0.1792951039
298	0.1789460629
299	0.1788391431
300	0.1785935998
301	0.1784218099
302	0.1781734999
303	0.1779813573
304	0.1777904954
305	0.1777150876
306	0.1776104442
307	0.1773321364
308	0.1770005665
309	0.1768076646
310	0.1765676621
311	0.176298556
312	0.1761743314
313	0.1758772826
314	0.1757345896
315	0.1754910595
316	0.1752209437
317	0.1749498049
318	0.1747745809
319	0.1745604745
320	0.1743543333
321	0.1741786278
322	0.1740257292
323	0.1739210166
324	0.1737694612
325	0.173588479
326	0.1733479336
327	0.1730685389
328	0.1727916297
329	0.1726552248
330	0.1725136688
331	0.1722303652
332	0.1721227538
333	0.1718535268
334	0.1717319783
335	0.1715449595
336	0.1713833402
337	0.1710671062
338	0.1708611218
339	0.1707530994
340	0.1705919254
341	0.1704920588
342	0.1702989891
343	0.1701917221
344	0.1700040545
345	0.1699374939
346	0.1696998163
347	0.1696346794
348	0.1694305782
349	0.169319866
350	0.1692037564
351	0.1690939221
352	0.1689499703
353	0.16870156
354	0.1685548177
355	0.1682993582
356	0.1681916573
357	0.1681004519
358	0.1679176095
359	0.1677434547
360	0.1676455225
361	0.1674975029
362	0.1673755858
363	0.1672384257
364	0.1671587773
365	0.1670572197
366	0.1669155931
367	0.1667374293
368	0.1666374656
369	0.1664923572
370	0.1662943581
371	0.1661717851
372	0.1660843435
373	0.1658212389
374	0.1657071693
