iter	Passed	Remaining
0	151	151449
1	152	76154
2	155	51559
3	158	39548
4	160	31898
5	163	27032
6	164	23266
7	165	20562
8	170	18819
9	173	17138
10	173	15639
11	174	14399
12	175	13347
13	179	12626
14	180	11830
15	183	11299
16	186	10799
17	190	10382
18	193	9988
19	194	9526
20	197	9229
21	198	8837
22	203	8648
23	204	8312
24	205	8007
25	206	7746
26	208	7518
27	209	7270
28	210	7044229	211	6828330	212	6631331	214	6484332	215	6312
33	219	6223
34	221	6105
35	224	6014
36	225	5867
37	226	5730
38	226	559139	229	5517
40	232	5442
41	237	5422
42	241	5365
43	244	5312
44	247	5258
45	250	5185
46	252	5118
47	252	5016
48	255	4950
49	255	4863
50	260	4845
51	263	4795
52	263	4713
53	264	4637
54	266	4578
55	269	4546
56	273	4516
57	275	4479
58	279	4462
59	280	4393
60	284	4372
61	286	4337
62	290	4315
63	295	4321
64	296	4258
65	300	4245
66	303	4226
67	304	4171
68	305	4116
69	308	4092
70	310	4061
71	313	4046
72	319	4060
73	320	4015
74	322	3972
75	323	3929
76	324	3889
77	325	3848
78	326	3807
79	327	3766
80	328	3727
81	329	3688
82	330	3656
83	332	3622
84	333	3588
85	334	3553
86	336	3527
87	337	3494
88	338	3462
89	339	3430
90	340	3398
91	341	3370
92	342	3341
93	343	3312
94	344	3285
95	346	3258
96	347	3231
97	348	3206
98	349	3180
99	350	3155
100	351	3130
101	352	3105
102	353	3082
103	354	3057
104	356	3035
105	357	3011
106	357	2987
107	359	2965
108	360	2943
109	361	2922
110	362	2901
111	363	2880
112	364	2860
113	365	2841
114	366	2821
115	367	2802
116	368	2782
117	369	2765
118	371	2748
119	372	2729
120	373	2710
121	374	2692
122	375	2674
123	376	2657
124	377	2640
125	378	2623
126	379	2606
127	380	2590
128	381	2575
129	382	2561
130	383	2547
131	385	2531
132	385	2516
133	387	2501
134	388	2488
135	389	2474
136	390	2460
137	391	2446
138	392	2431
139	393	2417
140	394	2403
141	395	2389
142	396	2376
143	397	2363
1144	398	23491145	399	23361146	400	23241147	401	23111148	406	2319
149	407	2308
150	408	2296
151	411	2294
152	412	2281
153	413	2270
154	414	2258
155	416	2251
156	417	2240
157	418	2228
158	419	2219
159	421	2212
160	422	2202
161	423	2191
162	424	2180
163	425	2171
164	427	2165
165	429	2159
166	431	2152
167	432	2141
168	433	2133
169	434	2122
170	436	2115
171	438	2111
172	439	2102
173	441	2095
174	442	2085
175	443	2075
176	444	2068
177	445	2059
178	447	2050
179	448	2041
180	449	2032
181	450	2023
182	452	2020
183	453	2012
184	454	2002
185	457	2002
186	459	1997
187	460	1989
188	462	1983
189	463	1973
190	464	1965
191	464	1956
192	465	1948
193	467	1942
194	469	1938
195	470	1930
196	473	1930
197	476	1931
198	481	1940
199	482	1931
200	483	1922
201	484	1913
202	487	1915
203	488	1906
204	493	1913
205	496	1914
206	499	1914
207	500	1906
208	504	1908
209	505	1900
210	507	1897
211	509	1894
212	510	1886
213	513	1884
214	517	1887
215	518	1880
216	518	1872
217	519	1864
218	520	1857
219	523	1857
220	524	1849
221	527	1849
222	528	1841223	532	1844
224	533	1836
225	538	1843
2226	540	1838227	545	1847
228	553	1862
229	558	1870
230	559	1862
231	560	1855
232	561	1848
233	565	1851
234	566	1844
235	570	1846
236	571	1839
237	574	1840
238	579	1844
239	582	1845
240	586	1846
241	587	1839
242	590	1838
243	594	1841
244	600	1850
245	601	1843
246	602	1836
247	603	1829
248	606	1828
249	612	1837
250	613	1831
251	617	1833
252	621	1836
253	622	1828
254	623	1822
255	625	1819
256	627	1812
257	627	1805
258	632	1808
259	633	1802
260	641	1816
261	645	1818
262	646	1811
263	651	1816
264	652	1809
265	653	1802
266	654	1795
267	663	1812
268	668	1815
269	670	1813
270	671	1806
271	677	1812
272	678	1806
273	679	1799
274	683	1801
275	687	1803
276	688	1796
277	690	1793
278	693	1791
279	694	1785
280	695	1778
281	696	1772
282	697	1766
283	700	1765
284	703	1765
285	704	1758
286	707	1756
287	712	1762
288	715	1760
289	716	1753
290	717	1747
291	720	1745
292	722	1742
293	723	1736
294	723	1729
295	727	1730
296	728	1724
297	730	1720
298	734	1723
299	739	1724
300	740	1718
301	740	1712
302	741	1706
303	744	1703
304	745	1697
305	747	1695
306	748	1690
307	749	1684
308	753	1683
309	753	1677
310	754	1672
311	758	1671
312	758	1665
313	763	1667
314	768	1672
315	769	1666
316	772	1665
317	777	1666
318	777	1660
319	781	1660
320	782	1654
321	786	1655
322	790	1655
323	791	1651
324	796	1653
325	799	1652
326	805	1657
327	809	1658
328	812	1656
329	813	1651
330	816	1649
331	817	1644
332	818	1638
333	821	1638
334	822	1632
335	823	1626
336	824	1621
337	825	1616
338	828	1614
339	829	1609
340	831	1607
341	832	1601
342	833	1596
343	834	1591
344	837	1589
3345	841	15903346	843	15873347	848	1589
348	849	15843349	853	1584350	855	1582
351	857	1577
352	857	1572
353	860	1569
354	861	1565
355	862	1560
356	867	1562
357	871	1563
358	876	1564
359	880	1565
360	883	1563
361	884	1558
362	885	1553
363	891	1558
364	897	1561
365	898	1555
366	902	1556
367	910	1564
368	912	1560
369	913	1555
370	914	1550
371	915	1545
372	916	1540
373	917	1535
374	918	1530
375	919	1525
376	925	1528
377	927	1525
378	928	1520
379	930	1517
380	934	1518
381	939	1520
382	941	1517
383	947	1520
384	951	1520
385	957	1523
386	962	1524
387	963	1519
388	964	1514
389	965	1509
390	966	1504
391	970	1505
392	971	1500
393	975	1500
394	976	1495
395	980	1495
396	983	1493
397	985	1490
398	989	1489
399	990	1485
400	990	1480
401	993	1477
402	994	1473
403	997	1472
404	998	1467
405	999	1462
406	1000	1457
407	1001	1453
408	1003	1450
409	1004	1445
410	1012	1451
411	1013	1446
412	1014	1441
413	1017	1440
414	1022	1440
415	1025	1439
416	1026	1434
417	1029	1433
418	1033	1433
419	1034	1428
420	1037	1426
421	1042	1428
422	1045	1425
423	1046	1421
424	1046	1416
425	1049	1414
426	1051	1410
427	1051	1405
428	1058	1408
429	1059	1404
430	1063	1404
431	1070	1407
432	1071	1403
